average_accuracy_vl,sd_accuracy_vl,average_metric_tr,network_topology
1.090128532,0.0570257287,0.9484308786,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
1.09349771,0.0399109332,0.9189202891,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
1.0954301676,0.0602216556,0.915502397,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
1.0972252098,0.0612388009,0.9299231288,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
1.1007255629,0.057072742,0.9725602376,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
1.1037962515,0.0605656142,0.9521806037,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
1.1055049943,0.0339678978,0.9250341088,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
1.1066386962,0.0655055761,0.9735443248,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
1.112309305,0.0631531773,0.9602446867,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
1.1131645309,0.0523797153,0.9535710863,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
1.1208610298,0.0567502026,0.9346477647,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 0.8, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
1.1258866058,0.0832558416,0.9182010132,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 0.9, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
2.8671310622,0.2976854164,2.7695335893,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 1.0, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
7.1544804805,5.0640226047,5.4737729627,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.06, 'ALPHA': 1.0, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
7.3045812655,4.6950742546,6.5993899373,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 1.0, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
9.7300240174,9.4561928733,9.9068383699,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 1.0, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 0.0001}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
16.3556718337,14.943155386,15.6159144782,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.08, 'ALPHA': 1.0, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
46.824980591,53.0903780264,39.3371956615,"{'layer_sizes': (38, 36, 2), 'act_hidden': 'sigmoid', 'act_out': 'id', 'w_init': 'he', 'loss': 'mse', 'metric': 'mee', 'optimizer': {'type_init': 'sgd', 'ETA': 0.07, 'ALPHA': 1.0, 'weight_regularizer': {'type_init': 'tikonov', 'LAMBDA': 1e-05}}, 'batch_size': 32, 'epochs': 1500, 'input_size': 10}"
